"subject","hem","roi","cyto","domain","group","tract","percentage"
"SL23/SL23_150321_time_01_1","lh","mOTS-words","FG4","word","adult","AF",55.7062675397568
"SL23/SL23_150321_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",36.7165575304022
"SL23/SL23_150321_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",0
"MW23/MW23_140720_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0
"MW23/MW23_140720_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",4.85159817351598
"MW23/MW23_140720_time_01_1","lh","mOTS-words","FG4","word","adult","AF",24.1723744292237
"MW23/MW23_140720_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",68.7214611872146
"MW23/MW23_140720_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",1.51255707762557
"LB23/LB23_140706_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0.302343159486017
"LB23/LB23_140706_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",13.1519274376417
"LB23/LB23_140706_time_01_1","lh","mOTS-words","FG4","word","adult","AF",31.5948601662887
"LB23/LB23_140706_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",53.0612244897959
"LB23/LB23_140706_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",0.755857898715042
"MBA24/MBA24_150227_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0.249376558603491
"MBA24/MBA24_150227_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",13.6159600997506
"MBA24/MBA24_150227_time_01_1","lh","mOTS-words","FG4","word","adult","AF",32.4688279301746
"MBA24/MBA24_150227_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",44.6882793017456
"MBA24/MBA24_150227_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",8.42892768079801
"TL24/TL24_150310_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",1.29198966408269
"TL24/TL24_150310_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",15.2454780361757
"TL24/TL24_150310_time_01_1","lh","mOTS-words","FG4","word","adult","AF",56.3307493540052
"TL24/TL24_150310_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",26.3565891472868
"TL24/TL24_150310_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",0.258397932816538
"JG24/JG24_140117_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0.426136363636364
"JG24/JG24_140117_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",12.4644886363636
"JG24/JG24_140117_time_01_1","lh","mOTS-words","FG4","word","adult","AF",45.5965909090909
"JG24/JG24_140117_time_01_1","lh","mOTS-words","FG4","word","adult","pAF",40.6605113636364
"JG24/JG24_140117_time_01_1","lh","mOTS-words","FG4","word","adult","VOF",0.319602272727273
"NC24/NC24_150321_time_01_1","lh","mOTS-words","FG4","word","adult","IFOF",0.123877361412202
"NC24/NC24_150321_time_01_1","lh","mOTS-words","FG4","word","adult","ILF",7.12294828120161
